Unnamed: 0,sentences,generated_labels
193,"With time, this process leads to a mushy surface layer, known as grease ice.",I would label this sentence as a Thing.
194,This pitch stood on the site of the present-day Wardlaw Street and Wardlaw Terrace.,Place
195,"During this scene, Tigger teaches Roo the awesome Whoop-de-Dooper-Loop-de-Looper-Alley-Ooper Bounce.",Thing
196,"He went to Tuskegee Institute, where he learned printing as a trade.",Place
197,Kedre Fairley and Doctor Napoleon Saunders are the vice principals.,Person
198,"Amongst his apprentices was Edmund Morison Wimperis, who became a notable watercolour landscape painter.",Person
199,Maurice protects Lulu and brings her home.,Person
200,The classification scheme used on the arXiv is chosen to reflect the papers submitted.,Idea
201,Until today they own large areas of property around Nablus and Jenin.,Place
202,Genres describe those works which share specific conventions.,Idea
203,I looked surprised and inquisitive.,not applicable
204,The Chippewa River is a popular destination for recreational kayakers and canoers.,Place
205,"Unlike many other Tong killings, Gee and Sing were apprehended.",Not applicable.
206,The user interface was made up of text.,Thing
207,Sullivan's life has long been intimately linked with William and Mary.,Thing
208,The Tui Tonga decline began due to numerous wars and internal pressure.,"I would label the sentence as ""Idea."""
209,King Kartavirya Arjuna sent his soldiers to take the cow.,Thing
210,Those studies which have been done have largely been of low quality.,I would label the sentence as an Idea.
211,Calumet Heights was swampy and relatively unoccupied throughout the nineteenth century.,Place
212,Golden Wonder now produces a number of different flavours of potato crisp.,Thing
213,Experienced and internationally recognized professionals staff the Centre.,Thing
214,"Hamilton was born in Fulham, southwest London.",Place
215,Party systems can be distinguished by the effective number of parties.,Idea
216,Opening of the Imperial diet.,Place
217,I can't wait!,"""I can't wait!"" - not applicable"
218,She was really fond of her work colleagues.,"I would label this sentence as ""Person."""
219,He was awarded a first-class degree from the University of Cambridge,Place
220,Beasts get fat by change of pastures.,Thing
221,A gradual diminishing of loudness.,Idea
222,Most are brown and cream in colour.,Thing
223,He died in hospital the next day.,Place
224,Gray and black market provided for flow of goods.,"I would label the sentence as ""Idea."""
225,"At worst, he's dangerous.",Idea
226,"Under Soviet domination, Armenian folk music was taught in state-sponsored conservatoires.",Idea
227,"The far less contributory precursor, Saint Marylebone, was a Conservative safe seat.",Place
228,Pinky and Perky!,"1. The Eiffel Tower is located in Paris. **(Place)**
2. Love is a beautiful emotion that can bring people together. **(Idea)**
3. Elephants are the largest land animals on Earth. **(Thing)**
4. Einstein's theory of relativity revolutionized the field of physics. **(Idea)**
5. The Great Wall of China is a popular tourist destination. **(Place)**
6. Dogs are loyal creatures that make great pets. **(Thing)**
7. The concept of democracy promotes equal rights and freedoms for all citizens. **(Idea)**
8. The Mona Lisa is one of the most famous paintings in the world. **(Thing)**
9. The Amazon Rainforest is home to a diverse range of plant and animal species. **(Place)**
10. Pinky and Perky! **(not applicable)**"
229,The band takes music from all aspects of his lengthy career.,Idea
230,She tells him she wants only the best for him.,Idea
231,Newborn finless porpoises are reported to in length.,Thing
232,He is also eligible to represent Nigeria at international level.,I would label the sentence as (Idea).
233,Most children were from former Soviet republics and former Yugoslavia.,Place
234,The train operates local on the entire line at all times.,Place
235,"It travels from Atlanta to Turners Corner, north-northeast of Dahlonega.",Place
236,"VeilSide produces a bodykit called ""Fortune"" which replaces all body panels except the roof.",Thing
237,"Ultimately, Anney returns to Glen.",Place
238,But these things happen so often!,not applicable
239,Titles in the franchise have received a variety of awards.,Idea
240,Negrete has led a more quiet life in Mexico since he retired from playing.,Not applicable
241,"""Don't dream of moving,"" said Rowe.",Idea
242,"The ballad features little more than piano, and was delivered in falsetto.",Place
243,"After serving three years in prison, he studied journalism at Norfolk State University.",Idea
244,Harlyckan has been the club's home ever since.,Place
245,"That song is also included on the band's album ""Introducing Happiness"".",I would label this sentence as (Thing) since it refers to a song and an album by the band.
246,It is now long and wide.,Not applicable.
247,"Prime Minister Scott Morrison described the allegations as ""deeply disturbing and troubling"".",Idea
248,Crosbie is married and has three children.,Person
249,It was also the site of severe civil strife and labour conflicts.,Place
250,The division was part of the German advance to the English Channel through Belgium.,Place
251,It is formed by adding a -u to the verb stem.,Idea
252,This is a major question in monetary reform.,Idea
253,"International waters have no sovereignty, ergo is ""Terra nullius"" as no state controls it.",Idea
254,He also founded an institute devoted to the theories of Confucianism.,Idea
255,The opening can then be permanently tied off or clamped temporarily.,Thing
256,He would fight and survive action at the Battle of Vimy Ridge.,Idea
257,Forensic work is now contracted out to the private sector or carried out in-house.,Idea
258,The island has many schools and participates in student exchanges with schools in Athens.,Place
259,Rokola is a name of the son of Degei.,Thing
260,Gerald Massey's monumental work on African origins suggested that the poem reflected Egyptian religion.,Idea
261,This forced the school to take up collections to meet its payroll.,Thing
262,It borders the state of Kentucky.,Place
263,Most farmers grow Jao rice.,Thing
264,It falls under the command of the Ministry of Defense of Georgia.,Idea
265,"She released her debut single ""Blondes"" with Capitol.",Thing
266,"As such, the molecule can be viewed as a derivative of acrolein.",Idea
267,Some flavors are distributed only to limited market areas.,Thing
268,"These often have plastic blades, which are adequate for the soft wax.",Thing
269,Alexander Goedicke was Nikolai Medtner's first cousin.,"This sentence could be labeled with ""Person"" as it describes a relationship between two individuals."
270,He is only seen in the later part of the series.,Idea
271,Another report discusses possible Chinese espionage at natural gas facilities.,Idea
272,Clara grows suspicious of what the four are up to and confronts Cal.,Idea
273,It is found in cool waters of the Southern Hemisphere.,Place
274,Democrat State Senator Martin Quezada is running for the Democratic nomination.,Person
275,John Frankenheimer was the director and Martin Manulis the producer.,Person
276,"He was known as the ""Kerry Packer of Sri Lankan cricket"".",Idea
277,Harmony vocals during the last minute of the song were provided by Janie Fricke.,Thing
278,"Dangers on the upper river include shallow, extremely braided channels, and aufeis.",Person
279,I took myself to have reached the ultimate.,Idea
280,Musicians Liam Lynch and Matt Crocco created and performed the series.,Person
281,Some Alpha Beta stores carried more than the customary supermarket merchandise.,Thing
282,I am quite surprised that the restaurant finally fixed the lighting problem.,Place
283,The goalie is showing off his reflexes today.,Person
284,There are also several prototypes and test airframes at the three manufacturing sites.,Thing
285,Weller was the guest yell-king during the Huskies' homecoming football game against Stanford.,Place
286,It's the very core feeling we should have in making games.,Idea.
287,"Although strictly charged to ensure its safety, Harris lost the manuscript.",Thing
288,"Lally once tried to be romantic with Giulio, but was rejected.",Person
289,Oral narcotic medications are also often used.,Thing
290,Instant miso soup is available in single-serving packets.,Thing
291,Cloud State University.,"- ""John is a student at Cloud State University."" (Person)
- ""Cloud State University is located in Minnesota."" (Place)
- ""The library at Cloud State University is open until midnight."" (Thing)
- ""Education is important for a successful career."" (Idea)
- ""The campus grounds are well-maintained."" (not applicable)"
292,There are playing fields.,Place
293,Its reporters network covers all of Kyushu.,Place
294,Similarities in nominal and pronominal prefixes determine what noun belongs to what noun class.,Idea
295,Five railway stations are currently in operation.,Place
296,I haven't any watch.,Not applicable.
297,"There are many local cultures around the world, with similarities and differences.",Idea
298,"Ricks also notes several references to ""gates"" in that Book, as in Dylan's song.","I would label the sentence as ""Idea"" because it discusses a concept or theme rather than a person, place, or thing specifically."
299,It is built from the remains of three old barns and a stable.,Place
300,"The ""Gold Coast Aquatic Centre"" is located on Marine Parade adjacent to Southport Broadwater.",Place
301,The Town of Hartland is on the eastern border of the county.,Place
302,It is the third and final film in the Qatsi trilogy.,Place
303,The organisation's purpose was local experience sharing and networking.,"I would label the sentence as ""Idea."""
304,"Pandorus was a very accomplished archer who fought in Homer's ""Iliad"".",Person
305,Arthur Edwards founded the Detroit and Cleveland Steamboat Company in Trenton.,Place
306,It is marketed by AstraZeneca and Teva.,Thing
307,"Geoffrey, son of Hamon, then held over Goodwin.",Place
308,Its publisher is Die Presse Verlag GmbH.,Place
309,I write everything down in my notebook.,Thing
310,These are aspects of procedural law.,"1. ""The defendant has the right to a fair trial."" - Idea
2. ""The judge presided over the courtroom."" - Person
3. ""The courthouse is located downtown."" - Place
4. ""Exhibits were presented as evidence."" - Thing
5. ""The concept of due process is crucial in legal proceedings."" - Idea
6. ""The defense attorney cross-examined the witness."" - Person
7. ""The courtroom was filled with spectators."" - Place
8. ""The physical evidence was carefully analyzed."" - Thing
9. ""Legal procedures must be followed accurately."" - Idea
10. ""The jury deliberated for several hours before reaching a verdict."" - Thing"
311,A film has yet to be produced.,Thing
312,He won the subsequent by-election with a strong majority.,Not applicable
313,"He worked a great deal from memory, using everybody he knew.","The sentence ""He worked a great deal from memory, using everybody he knew"" can be labeled as a mix of 'Person' and 'Thing'."
314,"The Bohemian estates, however, were not willing to support Charles in these ventures.",Idea
315,"At these locations, he learns about and participates in a local occupation.",Place
316,"There are Maundy coins in denominations of one, two, three and four pence.",Thing
317,She was captured by the French one year later.,Place
318,"But after the winter break, there was a remarkable turnaround.",Idea
319,"Nick plays drums, and Hannah is on bass.",I would label this sentence as (Person).
320,Some winter in California and southwestern Arizona.,Place
321,"All eyes, however, were staring at him in certitude of expectancy.",I would label the sentence as (Idea).
322,"During his long career, he received many honours and awards.","I would label the sentence as ""Person."""
323,"Robbery, bribery, fraud,","- Robbery: Not applicable
- Bribery: Not applicable
- Fraud: Not applicable"
324,"As we've missed the deadline, I think we should postpone the meeting.",Idea
325,The commanding officer of such a brigade was a lieutenant colonel.,Thing
326,"Patinkin has described himself as ""Jewish with a dash of Buddhist"" belief.",Idea
327,It has a greenish yellow to brown colour and forms nodules or crusts.,Thing
328,"However, Nanda enjoyed no spiritual happiness.",Idea
329,The Aberllefenni slate quarries are now all closed.,Place
330,"After this conviction, he was found guilty of four stink bomb attacks.",Thing
331,The Town of Fort Smith in the Northwest Territories is named after Donald Smith.,Place
332,The school's academic offerings cover a diverse range of technical fields.,Thing
333,I'm trying to prove it.,"1. The Eiffel Tower is located in Paris. (Place)  
2. Friendship is an important aspect of life. (Idea)  
3. The Mona Lisa is one of the most famous paintings in the world. (Thing)  
4. Kindness can make a big difference in someone's day. (Idea)  
5. John helped his friend with their homework. (Person)  
6. Mount Everest is the highest mountain on Earth. (Place)  
7. Happiness is a choice that we make every day. (Idea)  
8. The Great Wall of China can be seen from space. (Thing)  
9. Love is a powerful emotion that can bring people together. (Idea)  
10. Alexander Graham Bell invented the telephone. (Person)"
334,Zoos franchises are a disgrace to the global animal rights movement.,Idea
335,Many species are day-flying with metallic patterns.,Thing
336,Recorded by Yuri Nikulin himself.,not applicable
337,"The song can be found on Bonnie's album ""Secret Dreams and Forbidden Fire"".",Thing
338,President Bongo has remained involved in the continuing Congolese peace process.,Idea
339,"As time goes by, sprouts mature into fully developed stone wall trees.","I would label the sentence as ""Idea."""
340,She studied zoology and English literature at Victoria University of Wellington.,Place
341,These victories gained him great favor with Mexico's labor unions.,Idea
342,He must observe a fast and may neither drink nor bathe.,Idea
343,"He later reintroduced meat and fish, but in smaller doses.",Label: Thing
344,Washburn's partner is wounded in the arm and the Cubans escape.,Person
345,A one-year Microscopy Certificate is also offered.,Thing
346,He returned to Red Star on loan for the rest of the season.,Place
347,She married Mr Donkor with whom she has three daughters.,Person
348,His name has not been publicly released and he currently awaits trial.,(not applicable)
349,While at Boston College she was the captain of the tennis team.,Place
350,"However, disease control is reasonably successful for most crops.","I would label the sentence as ""Idea."""
351,He was succeeded in turn by James Gillespie.,Person
352,"His father and an uncle, J. P. Dake of Nashville, Tennessee, were also homeopaths.",Thing
353,"Born in Larvik, Halle started his youth career in local club Nesjar.",Place
354,"As a result, a Civilian Conservation Corps camp was opened in the area.",Place
355,Hertz is one of the first of Danish lyrical poets.,Idea
356,Rastafari meetings are opened and closed with prayers.,Idea
357,"It is levorotary, and on warming with alkalis gives iso-ecgonine, which is dextrorotary.",Thing
358,"Push factors motivating Christians to emigrate include religious discrimination, persecution, and cleansing.",Idea
359,"Such restaurants are often located on upper stories of hotels, communication towers, and skyscrapers.",Place
360,"However, the Parliament frustrated always such attempts, echoing the public opinion in Britain.",Idea
361,The suburb eventually became known as Shirley after the church.,Place
362,It is a law enforcement agency.,Place
363,Mix the flour and butter and pour into a baking tray.,Thing
364,She was perfectly happy.,Idea
365,"Berliner and Farwell adapted them for use in perfecting ""machines"" produced for vertical flight.",Thing
366,The trail then follows the Goyt Valley towards Stockport.,Place
367,"""We're kindred spirits"", Emmett told a newspaper at the time.",Idea
368,"It is supported by the international secretariat, located in Oslo, Norway.",Place
369,A vast company restructuring plan began.,Idea
370,"As a result, they are conceptually similar.","- As a result, they are conceptually similar. (Idea)"
371,"Furthermore, all Chase members starred together in a number of Japanese horror movies.",I would label the sentence as (Idea) since it is discussing a concept or information.
372,He retired as the General Editor of the Mangalam daily.,Person
373,It does have a reasonably high solubility in non-polar molecules such as oils.,Thing
374,Molar and mass concentration have different values in space where diffusion happens.,Idea
375,"The sphere atop the tower has been called the ""world's largest light bulb"".",Thing
376,A call to customer support is required to reset the activation limit.,Place
377,"The organization and personnel are described further, in a collection of linked web sites.",Idea
378,The Red Tornado football program currently ranks first in the state in all-time wins.,Thing
379,"The blazon of the municipal coat of arms is Azure, a Horse-shoe Or.",Thing
380,He left the council on his election to Westminster.,Place
381,But he was dropped and never regained a Test place.,I would label this sentence as (Person).
382,"We should all go back to living in the trees, much simpler.",Idea
383,The merged club started in the Premier Division of the Cambridgeshire League.,Place
384,He studied medicine at Leipzig.,Place
385,Milburn lost to Tishomingo.,Place
386,The newest artist is Young Prince.,Thing
387,Clinical tests involving humans have been performed.,Thing
388,Other benefits to the English were longer term.,I would label this sentence as Idea.
389,It is named after the nearby Mount Karisimbi.,Place
390,"The appearance of the dragon reflects its influences from its counterpart, the Chinese dragon.",Idea
391,Each Girl Scout council operates its own cookie sale.,Thing
392,While in the West he maintained a busy directing career.,Place
393,"Its main income sources were crematorium and columbarium services, prayer services and donations.",Place
394,"After defeating Shotgun, Daredevil detects Myers on an adjacent rooftop.",Place
395,"See here, on my arm!",Place
396,"She was watching the woman, and she was watching him fascinated with terror.",Person
397,"But you are late too, and look weary.",I would label this sentence as (Person) since it refers to someone who is late and looking weary.
398,Is that a bargain?,"I would label the sentence ""Is that a bargain?"" as an Idea."
399,It measures the sigma distance of actual data from the average.,Idea
400,The Iroquoian languages are polysynthetic and head-marking.,Idea
401,"Johannes may have been a composer, though no music attributed to him has survived.",Idea
402,"A human pregnancy normally lasts nine months, the basis of Naegele's rule.","I would label the sentence as ""Idea""."
403,"Because of this, Williams acquired the popular nickname Soapy.",Person
404,"If things were alive, they must have souls.",Idea
405,Schenkman was replaced by Anthony Krizan.,This sentence is classified as a - Thing.
406,Thongdrels are stored rolled up.,Thing
407,Following this it was acquired by Nordea and renamed PlusGirot.,Place
408,"The term ""topological dimension"" is ordinarily understood to refer to Lebesgue covering dimension.",Idea
409,The Coalmont Bank Building also is listed.,Place
410,"Hollins has also appeared in several ""Hollyoaks"" spin offs.",Thing
411,"Plante found it especially strange since ""Rick and Morty"" is ""fucked up"".",I would label this sentence as (Idea).
412,These scenes are surrounded by ornamental borders covering the remaining areas.,Thing
413,She also received an Academy Award nomination for both films.,I would label the sentence as (Idea).
414,"Too Short provides the intro on ""Tap In"".",Place
415,"It is referred to by some sign linguists as ""Eurosigns"".",Idea
416,The strip's presence ignited a controversy across many campuses.,Idea
417,He is a single and has no children.,"I would label the sentence as ""Person."""
418,There is no charge to walk around on the boardwalk.,Place
419,"Nawaz has played only one Test, against Bangladesh.",Thing
420,Many locations in the city are prized for their scenic outlooks.,Place
421,The largest city on the bay is Korsakov.,Place
422,"Angered, and shocked that Mina is able to resist him, Dracula vanishes.",Idea
423,These attacks resulted in huge damage to the town.,Place
424,Both the genus and species were first described and published in Bull.,Thing
425,John had to ask permission from King Robert to suspend his service.,Person
426,Rostrum rather broader than long.,Thing
427,After this initial production she promptly gave up acting.,I would label this sentence as (Thing).
428,He engaged in the real estate and building business.,Thing
429,It is a common misconception that Long Eaton is part of Nottinghamshire.,Idea
430,"They play the Germs song ""Sex Boy"" at The Masque.",Place
431,"“My word, you are loaded!” he exclaimed, putting down his brush.",I would label this sentence as a Person.
432,"Over time, Radio Disney released more volumes of the ""Kid Jams"" series.",Thing
433,"The town has trolley, tram and bus systems.",Place
434,"Kenny was born of Irish descent in Lindsay, Ontario.",Place
435,Alternative forms of her name include Mama and Mammitum.,"I would label the sentence as ""Thing."""
436,He died in Christchurch.,Place
437,Anoka is a northern suburb of the Twin Cities.,Place
